day_1,day_2,day_3,day_4,day_5
246.09867635794336,246.95479298622098,245.34632795024473,245.72201240957716,246.580541749813
247.808050370775,248.63676291248245,247.06956605417955,247.50616608886295,248.10664328144853
247.81525969814865,248.29170188970625,246.6354939654583,247.3278990847145,247.57799288396527
249.504561387913,250.08389314076925,248.35421633686235,249.13363753336975,249.1930118539176
248.65769949057955,249.00385523639352,247.11130236999404,248.10721945146838,248.1370650584978
249.3371984013906,249.86929141474258,248.0645756678726,248.90199557900536,249.10796915898445
249.548429532801,250.1075881328365,248.27730484133468,249.14650773118865,249.38193800343367
246.08327101203702,246.27062709824898,244.7284360188085,245.51966149859803,245.75661862139572
250.2217706265247,251.09592137642431,249.8420169664269,250.14891392751184,250.45244749610578
251.76435062072855,252.42251683655383,250.67968895194338,251.50639930283177,251.4836693955478
253.19729266227597,253.78747081575636,251.69533985659837,252.8347232730209,252.66736028649854
255.43722563578172,256.1609744041189,253.69829410093064,255.10300381150432,254.86925883656744
254.83952126141676,255.44147488967826,252.60177773398658,254.35475341307205,254.21347652419936
256.7890789491574,257.87546192587695,254.9744818864466,256.5491329443816,256.69025858862403
256.10961604897255,256.9929639128144,253.95759941837412,255.7490704569123,255.860775419515
256.78912216190884,257.8689295982766,254.88467138459902,256.55784031380693,256.72101886556
253.8748542013952,254.4364831303909,251.7615273876312,253.42530474551518,253.5114637698618
254.177919631848,255.10660487412855,252.98047988379807,254.0994020623899,254.29240461479662
251.25336703647963,251.67293404495058,249.9741615604846,250.9854407751138,250.97862756462882
249.12477171718896,249.4702792717306,248.54443886892318,249.0312593229637,248.962291771585
248.9347796531361,249.31424522822397,248.932892696321,249.00340150250287,248.72797782875347
247.00281675737733,247.09550810932427,247.04350156290556,247.031394790363,246.48843377001117
247.45584483975236,247.56173048515438,247.759601674229,247.6160561159031,246.92737449540033
250.45709286689097,250.59069949237409,250.42420796300678,250.51871425051633,249.68059573323444
248.7057952829884,248.27451041673828,247.81721147409098,248.37922211572482,247.40502664399963
248.68508197077398,248.30955595819702,247.8837879198872,248.40318358642625,247.570185780196
250.32431448581144,250.2484977133215,249.67916251031,250.1398464518241,249.4004474653221
248.9129932242597,248.59103661928035,247.9316100315366,248.56461922386922,247.8382992968183
247.73401972534668,247.3725810697556,246.95613258151718,247.43817082439278,246.6909935426225
246.890456401377,246.65415467197693,246.43817013790257,246.66284763715174,245.957089777685
248.67051207139647,248.67981001509216,248.38962198458353,248.53117975634086,247.9203315033976
244.40487333989878,243.7074987542212,243.4467638149159,243.85075622753718,243.1222684607865
243.20690783670574,242.65244862339483,242.7805456230629,242.74420009799684,242.20182965191538
246.5485931222111,246.39563438618552,246.4341441498887,246.1409240246505,245.68685163411445
238.88926976091457,237.72368861390095,237.75438047064702,237.94586697568892,237.2981546446617
239.6231663237268,238.9726019511012,239.6969124852078,239.0077447212508,238.60811679653006
242.67664416316683,242.1854052052864,242.753062313115,242.0470235707636,241.5646432269387
245.95770195833114,245.40470117538302,245.3549849047933,245.0126967002377,244.41673884124552
246.81469004376382,245.84326739025926,245.3491943960936,245.52641709208103,244.65072508737825
249.4420253343811,248.78927511674263,247.76828743727856,248.1701444197637,247.45490856347007
247.75978892948547,246.9382785130264,245.55626269911042,246.13819441918136,245.7111444025773
246.95369106105798,246.3654862898957,245.09426797080113,245.48808738150905,245.4291595927266
250.803075761699,250.91200070395584,249.49390224254535,249.71369670087608,249.78483209195457
249.7172401464983,249.34996776945604,247.49868308072985,248.22400911449648,248.16518215546756
